dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,n_runs
gist,MLP-IVF,40,0.932,144117.159,6.64211397884661,46.07431602478027,46.07431602478027,46.07431602478027,22.1171875,2045.626639187336,1
glove,BLISS,5,0.714,14553.106,67.17532010754282,44.95596885681152,44.95596885681152,44.95596885681152,11.6796875,1256.0157495252788,1
glove,BLISS,10,0.8188000000000001,30015.406,50.71958021686466,44.95596885681152,44.95596885681152,44.95596885681152,23.46875,1256.0157495252788,1
glove,BLISS,20,0.8967999999999999,60439.587,29.260888258430192,44.95596885681152,44.95596885681152,44.95596885681152,39.09765625,1256.0157495252788,1
glove,BLISS,40,0.952,120563.751,15.831701484440664,44.95596885681152,44.95596885681152,44.95596885681152,40.75,1256.0157495252788,1
glove,BLISS-KMeans,5,0.7282000000000001,13422.032,114.66372451586848,44.95596885681152,44.95596885681152,44.95596885681152,10.46484375,1262.7290538642555,1
glove,BLISS-KMeans,10,0.8252,26911.479,58.1014415501156,44.95596885681152,44.95596885681152,44.95596885681152,21.26953125,1262.7290538642555,1
glove,BLISS-KMeans,20,0.896,51997.105,31.0988606437228,44.95596885681152,44.95596885681152,44.95596885681152,37.22265625,1262.7290538642555,1
glove,BLISS-KMeans,40,0.9439,98618.668,20.078059109020245,44.95596885681152,44.95596885681152,44.95596885681152,62.28125,1262.7290538642555,1
glove,MLP-IVF,5,0.7225,12315.101,96.59030105702968,44.95596885681152,44.95596885681152,44.95596885681152,11.47265625,1258.345546239987,1
glove,MLP-IVF,10,0.8218,24905.301,57.22025013540616,44.95596885681152,44.95596885681152,44.95596885681152,22.734375,1258.345546239987,1
glove,MLP-IVF,20,0.8913,48398.968,35.89739484938831,44.95596885681152,44.95596885681152,44.95596885681152,60.68359375,1258.345546239987,1
glove,MLP-IVF,40,0.9414,92642.355,20.83872258178244,44.95596885681152,44.95596885681152,44.95596885681152,38.5078125,1258.345546239987,1
sift,BLISS,5,0.63741,19229.6825,27.330487049142626,39.57431602478027,39.57431602478027,39.57431602478027,19.52734375,1284.7213507667184,1
sift,BLISS,10,0.6757700000000001,38735.7808,15.862099353797596,39.57431602478027,39.57431602478027,39.57431602478027,30.93359375,1284.7213507667184,1
sift,BLISS,20,0.65765,77762.3011,11.094904528980882,39.57431602478027,39.57431602478027,39.57431602478027,47.35546875,1284.7213507667184,1
sift,BLISS,40,0.7321700000000001,155646.1378,7.692172701387228,39.57431602478027,39.57431602478027,39.57431602478027,12.88671875,1284.7213507667184,1
sift,BLISS-KMeans,5,0.81742,10797.1316,118.94696943466651,39.57431602478027,39.57431602478027,39.57431602478027,15.83203125,1246.1061826292423,1
sift,BLISS-KMeans,10,0.92811,21401.6182,71.90743528146305,39.57431602478027,39.57431602478027,39.57431602478027,26.87890625,1246.1061826292423,1
sift,BLISS-KMeans,20,0.9787900000000002,39653.0158,39.77772466749315,39.57431602478027,39.57431602478027,39.57431602478027,44.43359375,1246.1061826292423,1
sift,BLISS-KMeans,40,0.99508,71229.6048,22.468304974297656,39.57431602478027,39.57431602478027,39.57431602478027,45.59375,1246.1061826292423,1
sift,MLP-IVF,5,0.81978,10161.5146,163.78877304186273,39.57431602478027,39.57431602478027,39.57431602478027,15.90234375,1266.8188193030655,1
sift,MLP-IVF,10,0.92721,20044.733,79.18898942886157,39.57431602478027,39.57431602478027,39.57431602478027,26.203125,1266.8188193030655,1
sift,MLP-IVF,20,0.97806,37385.7885,41.9217287957146,39.57431602478027,39.57431602478027,39.57431602478027,41.3046875,1266.8188193030655,1
sift,MLP-IVF,40,0.99509,68482.8951,24.05125244372647,39.57431602478027,39.57431602478027,39.57431602478027,50.43359375,1266.8188193030655,1
