dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,threshold,nprobe,selected_part,n_runs
sift,AdaptIVF+PQ,10.0,0.8138799999999999,17524.8362,19.76435141653545,31.15534019470215,31.15534019470215,31.15534019470215,10.93359375,315.9718669578433,nan,nan,nan,1
sift,AdaptIVF+PQ-m80,10.0,0.95448,31802.314,16.64495426271544,31.15846824645996,31.15846824645996,31.15846824645996,12.390625,311.6186655666679,nan,nan,nan,1
sift,AdaptIVF-m80,10.0,0.95574,31403.022,68.64887854212648,15.783414840698242,15.783414840698242,15.783414840698242,41.02734375,312.8819524478168,nan,nan,nan,1
sift,BLISS,10.0,0.7297399999999999,38662.4617,19.845276374289643,39.57431602478027,39.57431602478027,39.57431602478027,31.546875,1304.50810595043,nan,nan,nan,1
sift,HNSW,nan,0.9955,3011.6064,46930.27156205728,747.8043441772461,747.8043441772461,747.8043441772461,799.5390625,nan,nan,10.0,nan,1
sift,IVF,nan,0.8745799999999999,10756.3318,54114.56105789266,496.4187755584717,496.4187755584717,496.4187755584717,528.8515625,nan,nan,10.0,nan,1
sift,IVFPQ,nan,0.54615,10756.3318,155753.59901983352,23.521355628967285,23.521355628967285,23.521355628967285,66.0859375,nan,nan,10.0,nan,1
sift,LIRA,10.0,0.9720299999999796,814.7266,457.319065959027,1509.3763542175293,1509.3763542175293,1509.3763542175293,169.39453125,2541.3122820556164,0.7399998903274536,10.1501,1.0,1
sift,MLP-IVF,10.0,0.92884,20367.7639,81.92136788909045,39.57431602478027,39.57431602478027,39.57431602478027,27.64453125,1298.15316721797,nan,nan,nan,1
sift,MLP-IVFPQ,10.0,0.92782,20509.2926,19.658247140359503,54.95834922790527,54.95834922790527,54.95834922790527,11.3359375,1304.0353912506253,nan,nan,nan,1
