dataset,method,probe_depth,recall_at_10,avg_computations,computation_min,computation_max,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,rss_baseline_mb,rss_serving_mb,rss_peak_mb,method_overhead_mb,build_total_s,train_s,threshold,nprobe,selected_part,n_runs,recall_score,compute_efficiency,storage_efficiency,score_sum,recall_weight,compute_weight,storage_weight,plot_x,plot_y
gist,IVF,,0.704,13966.409,2548.0,34044.0,5711.724264673536,3673.496899604797,3673.496899604797,3673.496899604797,3675.5390625,10.80078125,3716.671875,3716.671875,3705.87109375,110.51614973135293,,,10.0,,1,0.7642205818497612,0.06319562888355912,0.004858427356598821,0.8322746380899191,0.9182312506886635,0.07593122028636352,0.005837529024973023,0.4649531543693048,0.7952115896451398
gist,IVFPQ,,0.171,13966.409,2548.0,34044.0,77185.4317651147,27.58385753631592,27.58385753631592,27.58385753631592,45.0390625,10.80078125,84.66796875,84.66796875,73.8671875,136.00814212486148,,,10.0,,1,0.18562744246634824,0.06319562888355912,0.6470239997405594,0.8958470710904667,0.20720885121652952,0.0705428760364584,0.7222482727470121,0.8258526983552769,0.17944812904250462
gist,LIRA,10.0,0.9156999999999956,882.616,100.0,1727.0,133.66189461027747,7857.030849456787,7857.030849456787,7857.030849456787,25.5546875,10.82421875,4235.6953125,4306.625,4224.87109375,,1216.4989955406636,0.8399998545646667,10.353,1.0,1,0.994029526704294,1.0,0.0022715219239154215,1.9963010486282093,0.49793568329153437,0.5009264512920866,0.001137865416379125,0.2501057070621463,0.4312249511812314
deep1m,AdaptIVF,10.0,0.82225,45628.0662,7235.0,48128.0,38.53879600462786,150.14933586120603,150.14933586120603,150.14933586120603,30.19921875,10.76171875,3840.31640625,3878.05859375,3829.5546875,,400.1450391616672,,,,1,0.8382180539273154,0.017842025047294246,1.0,1.8560600789746098,0.4516114879160557,0.009612848877796653,0.5387756632061476,0.7645814071641754,0.3911070211761933
deep1m,AdaptIVF+PQ,10.0,0.81323,45659.8056,8730.0,48128.0,5.6103510686804885,302.8223705291748,302.8223705291748,302.8223705291748,16.08203125,10.7890625,3992.98828125,4030.94140625,3982.19921875,,392.217534808442,,,,1,0.8290228859778787,0.017829622559759648,0.49583303769409004,1.3426855462317282,0.6174363672153519,0.013279075364890024,0.3692845574197582,0.6780027410274341,0.534715579228872
deep1m,AdaptIVF+PQ-m80,10.0,0.93447,90909.2026,7511.0,313345.0,4.001997143353528,302.7831401824951,302.7831401824951,302.7831401824951,11.984375,10.8359375,3992.9375,4030.74609375,3982.1015625,,415.8568005040288,,,,1,0.9526173607217494,0.008955057097816849,0.4958972807095771,1.4574696985291433,0.6536104055426446,0.006144249247071249,0.34024534521028416,0.6670505479816065,0.5660432153777795
deep1m,AdaptIVF-m80,10.0,0.95354,91092.0692,4619.0,316812.0,29.072879725794653,150.21331596374512,150.21331596374512,150.21331596374512,47.3203125,10.7421875,3840.484375,3878.421875,3829.7421875,,417.48770640976727,,,,1,0.9720576991691728,0.008937079892351374,0.9995740716984469,1.9805688507599712,0.4907972266635321,0.004512380313828572,0.5046903930226393,0.7500890063544053,0.425042866397568
deep1m,BLISS,10.0,0.92407,46997.3694,5062.0,97280.0,37.65310379904095,337.8179683685303,337.8179683685303,337.8179683685303,45.0859375,10.76171875,3888.32421875,3926.1796875,3877.5625,,1580.9653638135642,,,,1,0.9420153932412457,0.017322184419964574,0.44446817493557966,1.40380575259679,0.6710439756345815,0.01233944538831076,0.3166165789771077,0.6521385667943984,0.5811411299560534
deep1m,HNSW,,0.98095,3722.4322,3722.4322,3722.4322,59596.56699402817,6251.078572273254,6251.078572273254,6251.078572273254,6860.140625,10.7890625,6292.125,6292.125,6281.3359375,224.6371586639434,,,10.0,,1,1.0,0.21870031642215,0.024019748612214776,1.2427200650343646,0.8046864520308098,0.1759851816797553,0.019328366289435073,0.42167159230483997,0.6968789095398493
deep1m,IVF,,0.8571799999999999,29643.6297,9252.0,77368.0,27520.5549674748,3736.196482658386,3736.196482658386,3736.196482658386,3754.98046875,10.79296875,3781.1953125,3781.1953125,3770.40234375,141.96408031135798,,,10.0,,1,0.8738263927825067,0.027462800886357042,0.04018775151631519,0.9414769451851789,0.9281442283333173,0.029169913322684062,0.04268585834399872,0.5067579725106574,0.8037964801125573
deep1m,IVFPQ,,0.45575,29643.6297,9252.0,77368.0,101208.7955943794,230.2783145904541,230.2783145904541,230.2783145904541,313.07421875,10.796875,336.125,336.125,325.328125,155.52173998206854,,,10.0,,1,0.46460064223456854,0.027462800886357042,0.6520341966556598,1.1440976397765854,0.4060847833977647,0.024003896111279333,0.5699113204909558,0.7729537121898382,0.35167973851276546
deep1m,LIRA,10.0,0.9316499999999815,814.0971,0.0,2969.0,324.6498273359173,12628.923320770264,12628.923320770264,12628.923320770264,799.21875,10.80078125,4291.94921875,4300.9765625,4281.1484375,,12026.539181966336,0.7599998712539673,10.0202,1.0,1,0.949742596462594,1.0,0.01188932199899113,1.9616319184615851,0.4841594325236266,0.5097796332679234,0.006060934208449953,0.24814065047026324,0.41929436804731834
