dataset,method,seed,probe_depth,recall_at_10,avg_computations,avg_computations_mode,avg_candidates,avg_candidates_mode,qps,index_overhead_mb,index_overhead_mode,serving_footprint_mb,serving_footprint_mode,index_size_mb,index_size_mode,query_mem_delta_mb,query_mem_delta_mode,train_s,experiment_dir,query_mem_rss_before_mb,query_mem_rss_after_mb,query_mem_peak_rss_mb,query_mem_delta_mb_isolated,query_mem_peak_delta_mb
glove,BLISS,0,40,0.952,120563.751,avg_unique_candidate_vectors_per_query,120563.751,avg_unique_candidate_vectors_per_query,15.831701484440664,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,40.75,isolated_subprocess_rss_delta,1256.0157495252788,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,2002.74609375,2043.49609375,3250.578125,40.75,1247.83203125
glove,BLISS-KMeans,0,5,0.7282000000000001,13422.032,avg_unique_candidate_vectors_per_query,13422.032,avg_unique_candidate_vectors_per_query,114.66372451586847,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,10.46484375,isolated_subprocess_rss_delta,1262.7290538642555,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,2003.22265625,2013.6875,3361.8046875,10.46484375,1358.58203125
glove,BLISS-KMeans,0,10,0.8252,26911.479,avg_unique_candidate_vectors_per_query,26911.479,avg_unique_candidate_vectors_per_query,58.101441550115595,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,21.26953125,isolated_subprocess_rss_delta,1262.7290538642555,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,2003.5546875,2024.82421875,3361.8125,21.26953125,1358.2578125
glove,BLISS-KMeans,0,20,0.896,51997.105,avg_unique_candidate_vectors_per_query,51997.105,avg_unique_candidate_vectors_per_query,31.098860643722798,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,37.22265625,isolated_subprocess_rss_delta,1262.7290538642555,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,2003.83203125,2041.0546875,3401.13671875,37.22265625,1397.3046875
glove,BLISS-KMeans,0,40,0.9439000000000001,98618.668,avg_unique_candidate_vectors_per_query,98618.668,avg_unique_candidate_vectors_per_query,20.078059109020245,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,62.28125,isolated_subprocess_rss_delta,1262.7290538642555,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,2003.671875,2065.953125,3434.203125,62.28125,1430.53125
glove,MLP-IVF,0,5,0.7225,12315.101,avg_unique_candidate_vectors_per_query,12315.101,avg_unique_candidate_vectors_per_query,96.59030105702969,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,11.47265625,isolated_subprocess_rss_delta,1258.345546239987,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,2007.37109375,2018.84375,3434.203125,11.47265625,1426.83203125
glove,MLP-IVF,0,10,0.8218,24905.301,avg_unique_candidate_vectors_per_query,24905.301,avg_unique_candidate_vectors_per_query,57.220250135406154,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,22.734375,isolated_subprocess_rss_delta,1258.345546239987,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,2008.2265625,2030.9609375,3434.203125,22.734375,1425.9765625
glove,MLP-IVF,0,20,0.8913,48398.968,avg_unique_candidate_vectors_per_query,48398.968,avg_unique_candidate_vectors_per_query,35.89739484938831,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,60.68359375,isolated_subprocess_rss_delta,1258.345546239987,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,2008.4453125,2069.12890625,3434.203125,60.68359375,1425.7578125
glove,MLP-IVF,0,40,0.9414000000000001,92642.355,avg_unique_candidate_vectors_per_query,92642.355,avg_unique_candidate_vectors_per_query,20.838722581782438,44.95596885681152,index_overhead_manifest,44.95596885681152,serving_footprint_manifest,44.95596885681152,index_overhead_manifest,38.5078125,isolated_subprocess_rss_delta,1258.345546239987,/data/experiments/git_repos/experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,2008.70703125,2047.21484375,3447.42578125,38.5078125,1438.71875
sift,BLISS,0,5,0.63741,19229.6825,avg_unique_candidate_vectors_per_query,19229.6825,avg_unique_candidate_vectors_per_query,27.330487049142626,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,19.52734375,isolated_subprocess_rss_delta,1284.7213507667184,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,2139.33203125,2158.859375,3354.13671875,19.52734375,1214.8046875
sift,BLISS,0,10,0.6757700000000001,38735.7808,avg_unique_candidate_vectors_per_query,38735.7808,avg_unique_candidate_vectors_per_query,15.862099353797596,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,30.93359375,isolated_subprocess_rss_delta,1284.7213507667184,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,2139.19921875,2170.1328125,3354.60546875,30.93359375,1215.40625
sift,BLISS,0,20,0.65765,77762.3011,avg_unique_candidate_vectors_per_query,77762.3011,avg_unique_candidate_vectors_per_query,11.094904528980882,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,47.35546875,isolated_subprocess_rss_delta,1284.7213507667184,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,2137.69140625,2185.046875,3354.796875,47.35546875,1217.10546875
sift,BLISS,0,40,0.7321700000000001,155646.1378,avg_unique_candidate_vectors_per_query,155646.1378,avg_unique_candidate_vectors_per_query,7.692172701387228,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,12.88671875,isolated_subprocess_rss_delta,1284.7213507667184,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,2137.7421875,2150.62890625,3375.296875,12.88671875,1237.5546875
sift,BLISS-KMeans,0,5,0.81742,10797.1316,avg_unique_candidate_vectors_per_query,10797.1316,avg_unique_candidate_vectors_per_query,118.94696943466653,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,15.83203125,isolated_subprocess_rss_delta,1246.1061826292425,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,2139.5703125,2155.40234375,3528.68359375,15.83203125,1389.11328125
sift,BLISS-KMeans,0,10,0.92811,21401.6182,avg_unique_candidate_vectors_per_query,21401.6182,avg_unique_candidate_vectors_per_query,71.90743528146305,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,26.87890625,isolated_subprocess_rss_delta,1246.1061826292425,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,2139.23046875,2166.109375,3528.93359375,26.87890625,1389.703125
sift,BLISS-KMeans,0,20,0.9787900000000002,39653.0158,avg_unique_candidate_vectors_per_query,39653.0158,avg_unique_candidate_vectors_per_query,39.77772466749315,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,44.43359375,isolated_subprocess_rss_delta,1246.1061826292425,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,2138.5078125,2182.94140625,3529.02734375,44.43359375,1390.51953125
sift,BLISS-KMeans,0,40,0.99508,71229.6048,avg_unique_candidate_vectors_per_query,71229.6048,avg_unique_candidate_vectors_per_query,22.468304974297656,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,45.59375,isolated_subprocess_rss_delta,1246.1061826292425,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,2136.82421875,2182.41796875,3529.03125,45.59375,1392.20703125
sift,MLP-IVF,0,5,0.81978,10161.5146,avg_unique_candidate_vectors_per_query,10161.5146,avg_unique_candidate_vectors_per_query,163.78877304186273,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,15.90234375,isolated_subprocess_rss_delta,1266.8188193030655,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,2141.87109375,2157.7734375,3553.84375,15.90234375,1411.97265625
sift,MLP-IVF,0,10,0.9272100000000001,20044.733,avg_unique_candidate_vectors_per_query,20044.733,avg_unique_candidate_vectors_per_query,79.18898942886157,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,26.203125,isolated_subprocess_rss_delta,1266.8188193030655,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,2143.62109375,2169.82421875,3553.85546875,26.203125,1410.234375
sift,MLP-IVF,0,20,0.97806,37385.7885,avg_unique_candidate_vectors_per_query,37385.7885,avg_unique_candidate_vectors_per_query,41.9217287957146,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,41.3046875,isolated_subprocess_rss_delta,1266.8188193030655,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,2142.609375,2183.9140625,3554.01953125,41.3046875,1411.41015625
sift,MLP-IVF,0,40,0.9950899999999999,68482.8951,avg_unique_candidate_vectors_per_query,68482.8951,avg_unique_candidate_vectors_per_query,24.05125244372647,39.57431602478027,index_overhead_manifest,39.57431602478027,serving_footprint_manifest,39.57431602478027,index_overhead_manifest,50.43359375,isolated_subprocess_rss_delta,1266.8188193030655,/data/experiments/git_repos/experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,2142.9765625,2193.41015625,3554.28125,50.43359375,1411.3046875
